# N	pid	stat 	E 	Px	Py	Pz	Eta	Phi
64 -421 0 2.69619 -1.58624 -0.78981 0.807338 0.441161 3.60357
22 -421 0 6.95384 -2.37314 2.24781 -5.84755 -1.34506 2.38331
3 -421 0 3.49362 0.420755 -2.9241 0.0172563 0.00584121 4.8553
37 -421 0 13.7461 4.8227 9.0059 9.00627 0.795123 1.07915
37 -421 0 14.4742 -13.2462 -5.38704 -1.24307 -0.0868209 3.52785
11 -421 0 3.12293 0.0596649 -1.63433 1.89745 0.990258 4.74888
24 -421 0 14.4748 7.35821 -4.68928 11.3978 1.08227 5.7158
58 -421 0 7.6483 -6.65432 2.96998 1.38493 0.188928 2.7218
2 -421 0 12.9973 -8.59877 -7.69329 -5.68556 -0.474734 3.87147
4 -421 0 2.7843 -1.36401 -1.05054 -1.14475 -0.623682 3.79789
39 -421 0 3.55868 2.79921 1.1544 -0.13502 -0.0445772 0.391151
77 -421 0 4.03663 1.36149 1.54128 -2.93045 -1.15241 0.847256
29 -421 0 6.12484 2.12881 3.63892 -4.03267 -0.85031 1.04147
8 -421 0 16.24 2.90217 -7.15162 14.1666 1.36756 5.09789
14 -421 0 2.58979 0.94273 -1.09235 1.07114 0.687017 5.4244
49 -421 0 9.47662 4.69455 -5.9994 5.3195 0.651268 5.37637
27 -421 0 18.2251 14.7929 0.109165 -10.4804 -0.659579 0.00737943
39 -421 0 9.86889 -7.16548 6.49849 0.585494 0.0604894 2.40497
46 -421 0 27.0582 -4.78903 -15.0441 -21.8952 -1.1303 4.4042
14 -421 0 2.83514 0.595195 -2.05068 -0.0270502 -0.0126677 4.99487
58 -421 0 5.56737 3.5534 2.70095 -2.75611 -0.583768 0.649935
40 -421 0 10.723 -6.62953 8.06 -1.60934 -0.153603 2.25912
33 -421 0 5.55005 1.82215 4.70649 -1.36162 -0.266623 1.20141
4 -421 0 11.4798 7.58964 -4.57803 -7.05316 -0.729351 5.74042
14 -421 0 26.547 -9.11004 -6.56745 23.9819 1.50261 3.76621
22 -421 0 6.62499 -5.55914 -2.19071 2.17013 0.355643 3.51698
20 -421 0 4.72591 1.08016 -4.20129 0.197293 0.0454654 4.96404
14 -421 0 2.15099 1.00742 0.0735041 0.358844 0.348178 0.0728335
54 -421 0 2.61014 -0.786902 0.934237 1.35761 0.958025 2.2708
34 -421 0 6.76625 -1.08288 1.23929 6.29254 2.051 2.28894
6 -421 0 42.1491 17.8624 5.23726 -37.7699 -1.45656 0.285206
15 -421 0 6.72644 -4.06297 5.01586 -0.317483 -0.0491646 2.25162
53 -421 0 5.19448 4.15862 1.27266 -2.14267 -0.474655 0.29698
119 -421 0 1.97835 -0.283576 0.383714 0.456639 0.850679 2.20724
124 -421 0 2.88471 2.15436 -0.44442 0.0715634 0.0325272 6.07975
58 -421 0 14.8324 -0.530281 -12.7616 -7.30636 -0.544697 4.67086
12 -421 0 10.9233 -4.68015 5.9619 7.64145 0.887146 2.23633
28 -421 0 11.763 6.21063 4.46671 8.73878 0.978514 0.623498
41 -421 0 16.0672 10.9308 -9.68565 6.43299 0.42735 5.55811
29 -421 0 10.7344 -4.51582 3.4602 8.90979 1.23089 2.48778
63 -421 0 1.97146 -0.418424 -0.483063 -0.0225965 -0.0353502 3.99857
4 -421 0 13.9591 -12.4604 -4.99142 -3.34654 -0.246801 3.5226
97 -421 0 4.87894 -0.94348 -1.96091 3.94854 1.35747 4.26394
20 -421 0 11.9075 0.279727 -10.2435 5.77092 0.536984 4.73969
36 -421 0 3.31646 -0.679213 2.57557 0.652963 0.24275 1.82864
2 -421 0 5.5742 0.407944 -3.22902 -4.12322 -1.05808 4.83806
15 -421 0 6.46325 2.25171 -5.59058 1.40394 0.230885 5.09528
1 -421 0 3.62261 -1.62908 -1.09778 2.40551 1.03158 3.73456
9 -421 0 2.6344 -1.04588 0.581627 -1.42484 -1.00995 2.63407
67 -421 0 3.19513 -2.19771 0.701062 1.18734 0.494328 2.8328
77 -421 0 3.17027 0.492521 -1.44341 2.06079 1.1093 5.04122
30 -421 0 5.10893 2.02311 4.30431 -0.0592562 -0.0124588 1.13142
8 -421 0 3.58733 -2.15417 -2.16735 0.230998 0.0755217 3.93004
45 -421 0 4.19653 -2.34362 1.79577 -2.32719 -0.723432 2.48778
26 -421 0 4.69691 3.05381 -2.84563 -1.07698 -0.255233 5.53306
3 -421 0 11.2019 8.89065 -6.09098 2.42107 0.222804 5.68253
38 -421 0 5.79258 -2.34179 4.89021 0.823575 0.151317 2.0174
60 -421 0 15.1113 -10.8188 -9.97332 -2.89119 -0.195244 3.88635
8 -421 0 4.38981 -0.301971 1.5855 -3.63151 -1.55016 1.759
58 -421 0 3.2699 -0.192997 1.37807 -2.29743 -1.27572 1.70994
99 -421 0 14.8092 9.3088 -0.129357 11.365 1.0292 6.26929
74 -421 0 2.40558 -1.0096 -1.12244 0.173098 0.114408 3.97987
34 -421 0 6.20319 0.352293 1.70914 5.65298 1.89155 1.36752
38 -421 0 2.37252 -0.501815 -1.20623 0.666596 0.490347 4.31815
29 -421 0 27.1261 15.6559 -0.228832 -22.0723 -1.1436 6.26857
52 -421 0 2.77886 -0.300898 -1.89673 -0.745788 -0.379188 4.55506
9 -421 0 15.5276 -6.11709 -8.92391 -10.9807 -0.891891 4.11148
11 -421 0 15.0028 -11.3573 7.60719 -5.89477 -0.418875 2.55142
31 -421 0 8.53242 7.43668 2.8183 2.46523 0.305222 0.362249
12 -421 0 7.87889 3.08306 -1.75745 -6.78273 -1.40324 5.76509
17 -421 0 10.9855 -1.92957 6.79505 8.20419 0.991062 1.84748
13 -421 0 2.7561 -0.404628 1.24023 1.55452 1.01058 1.88616
4 -421 0 13.0373 3.38835 -9.29076 -8.28816 -0.762136 5.0621
80 -421 0 2.07919 -0.889967 0.219094 0.0725717 0.0790976 2.90021
85 -421 0 6.80828 2.48664 4.61391 -3.92473 -0.692191 1.07648
14 -421 0 9.22675 5.19817 -7.38414 0.329921 0.0365267 5.32577
6 -421 0 15.0555 4.04575 -13.752 -4.20769 -0.28947 4.99851
17 -421 0 13.4125 -9.16493 -7.66278 -5.80531 -0.46861 3.83796
8 -421 0 2.21974 0.937239 0.313186 0.687783 0.649394 0.322493
4 -421 0 25.157 3.47984 16.0401 -18.9739 -0.987505 1.35716
8 -421 0 5.54563 -1.83247 1.90096 4.50606 1.30416 2.33785
25 -421 0 12.8524 0.764461 9.71508 8.16939 0.762302 1.49227
29 -421 0 2.64712 0.207645 -1.83842 -0.326589 -0.17562 4.82486
89 -421 0 4.25785 -1.68562 -2.89932 -1.84506 -0.525615 4.18577
6 -421 0 7.66387 1.05661 7.01793 -2.2112 -0.306735 1.42136
2 -421 0 8.74879 2.86761 -5.24899 6.10643 0.896098 5.2124
6 -421 0 2.60845 0.794568 1.07862 1.23757 0.826432 0.935895
9 -421 0 12.7961 -11.2358 5.60294 -1.62119 -0.128768 2.67901
16 -421 0 54.0587 1.39706 1.70658 53.9817 3.89126 0.884798
27 -421 0 13.8934 0.0376726 10.6229 8.75782 0.751624 1.56725
5 -421 0 14.7136 14.1806 -3.44838 0.169913 0.0116425 6.04464
